,accuracy,precision,recall,f1_score,auc_roc
XGBoost,0.889763779527559,0.8892973370202923,0.889763779527559,0.8894026947311222,0.0
AdaBoost,0.7182852143482065,0.7323258774856708,0.7182852143482065,0.7224459768953717,0.0
Decision Tree,0.7847769028871391,0.7882242657978733,0.7847769028871391,0.7860622003193241,0.0
SVM,0.8118985126859143,0.8152132171400579,0.8118985126859143,0.8131754711729157,0.0
ANN,0.8573928258967629,0.8558424156637464,0.8573928258967629,0.85643098947947,0.0
